,tweets,likes,time,retweets,clean_tweets,polarity,subjectivity,sentiment
10,"RT @peoplesvaccine: Pfizer and Moderna said it couldn't be done.

But @nytimes has found 10 companies across 3 continents that are strong c…",0,2021-10-22 21:43:02+00:00,14,"['rt', 'peoplesvaccine', 'pfizer', 'moderna', 'said', 'couldnt', 'done', 'nytimes', 'found', 'company', 'across', 'continent', 'strong', 'c', '']",0.4333333333333333,0.7333333333333333,Positive
11,"RT @cyrusshahpar46: Friday just in: +952K doses reported admin over yest total, including 276K newly vaccinated and 430K add'l doses/booste…",0,2021-10-22 21:43:02+00:00,106,"['rt', 'cyrusshahpar', 'friday', 'k', 'dos', 'reported', 'admin', 'yest', 'total', 'including', 'k', 'newly', 'vaccinated', 'k', 'addl', 'dosesbooste', '']",0.06818181818181818,0.6022727272727273,Positive
12,"RT @justin_hart: ANOTHER fully vaccinated nursing home in the midst of a breakout. 
https://t.co/2vgSDTBhGl

this is not great news.",0,2021-10-22 21:43:02+00:00,162,"['rt', 'justinhart', 'another', 'fully', 'vaccinated', 'nursing', 'home', 'midst', 'breakout', 'httpstcovgsdtbhgl', 'great', 'news']",-0.4,0.75,Negative
13,"RT @BKarahalios: Last night, I participated in debate on Bill 12 - Mandatory COVID-19 Vaccinations in the Education and Healthcare Sectors…",0,2021-10-22 21:43:01+00:00,1826,"['rt', 'bkarahalios', 'last', 'night', 'participated', 'debate', 'bill', 'mandatory', 'covid', 'vaccination', 'education', 'healthcare', 'sector', '']",0.0,0.06666666666666667,Neutral
14,RT @RepThomasMassie: The goalposts are moving. First they changed the definition of “vaccine.” Now they’re changing the definition of “full…,0,2021-10-22 21:43:01+00:00,683,"['rt', 'repthomasmassie', 'goalpost', 'moving', 'first', 'changed', 'definition', 'vaccine', 'changing', 'definition', 'full', '']",0.25,0.3333333333333333,Positive
15,"RT @MaidmentRos: We keep hearing about rising cases and Plan B just around the corner, but good news from ONS is that based on antibody tes…",0,2021-10-22 21:43:00+00:00,239,"['rt', 'maidmentros', 'keep', 'hearing', 'rising', 'case', 'plan', 'b', 'around', 'corner', 'good', 'news', 'ons', 'based', 'antibody', 'te', '']",0.7,0.6000000000000001,Positive
16,"Proof-of-COVID-19 vaccination required as B.C. Winter Games set to go ahead in Vernon 

https://t.co/0zgKn4E6k4",0,2021-10-22 21:43:00+00:00,0,"['proofofcovid', 'vaccination', 'required', 'bc', 'winter', 'game', 'set', 'go', 'ahead', 'vernon', 'httpstcozgknek']",0.0,0.0,Neutral
17,RT @newsbht1: Maj.-Gen. Fortin appeals judge’s ruling on reinstatement to COVID-19 vaccine campaign | CBC News https://t.co/vZSezbcpbR,0,2021-10-22 21:43:00+00:00,1,"['rt', 'newsbht', 'majgen', 'fortin', 'appeal', 'judge', 'ruling', 'reinstatement', 'covid', 'vaccine', 'campaign', 'cbc', 'news', 'httpstcovzsezbcpbr']",0.0,0.0,Neutral
18,RT @Reuters: Pfizer announced that their COVID-19 vaccine has proven to be more than 90% effective in children ages 5 to 11 in a clinical t…,0,2021-10-22 21:43:00+00:00,57,"['rt', 'reuters', 'pfizer', 'announced', 'covid', 'vaccine', 'proven', 'effective', 'child', 'age', 'clinical', '']",0.55,0.65,Positive
19,Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/EEkDVv7vI0,0,2021-10-22 21:43:00+00:00,0,"['governor', 'newsom', 'covid', 'student', 'vaccine', 'proposed', 'mandate', 'information', 'httpstcoeekdvvvi']",0.0,0.0,Neutral
20,"IS it covid-19?.......Secret United Nations Space Program Preparing for Alien Invasion,  ........ WRITTEN BY DR MICHAEL SALLA ON AUGUST 18, 2015. POSTED IN SPACE PROGRAMS, WORLD POLITICS https://t.co/bZ6pgKGEnL …",0,2021-10-22 21:43:00+00:00,0,"['covidsecret', 'united', 'nation', 'space', 'program', 'preparing', 'alien', 'invasion', 'written', 'dr', 'michael', 'salla', 'august', 'posted', 'space', 'program', 'world', 'politics', 'httpstcobzpgkgenl', '']",-0.25,0.75,Negative
21,#WATCH | A team of healthcare workers in Chhattisgarh crosses a river on  bamboo boat to hold a Covid-19 vaccination drive in Rajnandgaon's remote village (22.10) https://t.co/bAzF5V9Wbb,0,2021-10-22 21:42:59+00:00,0,"['watch', 'team', 'healthcare', 'worker', 'chhattisgarh', 'cross', 'river', 'bamboo', 'boat', 'hold', 'covid', 'vaccination', 'drive', 'rajnandgaons', 'remote', 'village', 'httpstcobazfvwbb']",-0.1,0.2,Negative
22,RT @LeslynLewis: Never have Canadian children been used as shields for adults. Parents question vaccinating kids 5-12 without long-term dat…,0,2021-10-22 21:42:59+00:00,869,"['rt', 'leslynlewis', 'never', 'canadian', 'child', 'used', 'shield', 'adult', 'parent', 'question', 'vaccinating', 'kid', 'without', 'longterm', 'dat', '']",0.0,0.0,Neutral
23,"RT @SkyNews: A mutation of COVID-19 has been designated a ""variant under investigation"" by the UK Health Security Agency (UKHSA), after it…",0,2021-10-22 21:42:58+00:00,86,"['rt', 'skynews', 'mutation', 'covid', 'designated', 'variant', 'investigation', 'uk', 'health', 'security', 'agency', 'ukhsa', '']",0.0,0.0,Neutral
24,"RT @BKarahalios: Last night, I participated in debate on Bill 12 - Mandatory COVID-19 Vaccinations in the Education and Healthcare Sectors…",0,2021-10-22 21:42:58+00:00,1826,"['rt', 'bkarahalios', 'last', 'night', 'participated', 'debate', 'bill', 'mandatory', 'covid', 'vaccination', 'education', 'healthcare', 'sector', '']",0.0,0.06666666666666667,Neutral
25,"RT @JordanSchachtel: As of 10/21/21 end of day:

Vax Pass New York, which has heavy restrictions in place, has reported 17,834 COVID-19 cas…",0,2021-10-22 21:42:58+00:00,1170,"['rt', 'jordanschachtel', 'end', 'day', 'vax', 'pas', 'new', 'york', 'heavy', 'restriction', 'place', 'reported', 'covid', 'ca', '']",-0.03181818181818183,0.4772727272727273,Negative
26,RT @WTNH: BREAKING: Pfizer says kid-size doses of its COVID-19 vaccine are near 91% effective. https://t.co/sDmuLf12Eo,0,2021-10-22 21:42:56+00:00,3,"['rt', 'wtnh', 'breaking', 'pfizer', 'say', 'kidsize', 'dos', 'covid', 'vaccine', 'near', 'effective', 'httpstcosdmulfeo']",0.35,0.6000000000000001,Positive
27,Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/2buqG3DjQI,0,2021-10-22 21:42:56+00:00,0,"['governor', 'newsom', 'covid', 'student', 'vaccine', 'proposed', 'mandate', 'information', 'httpstcobuqgdjqi']",0.0,0.0,Neutral
28,Saskatchewan's Scott Moe starts daily shipping of patients to Ontario after bungling province's public health response to the pandemic #skpoli #Regina #Coronavirus #cdnpoli #onpoli  https://t.co/OUaKxwi3l3,0,2021-10-22 21:42:56+00:00,0,"['saskatchewan', 'scott', 'moe', 'start', 'daily', 'shipping', 'patient', 'ontario', 'bungling', 'province', 'public', 'health', 'response', 'pandemic', 'skpoli', 'regina', 'coronavirus', 'cdnpoli', 'onpoli', 'httpstcoouakxwil']",0.0,0.03333333333333333,Neutral
29,"RT @jpkiekens: Marc Wathelet, PhD, in this letter to the Belgian health minister, questions the official response to COVID-19, including th…",0,2021-10-22 21:42:55+00:00,15,"['rt', 'jpkiekens', 'marc', 'wathelet', 'phd', 'letter', 'belgian', 'health', 'minister', 'question', 'official', 'response', 'covid', 'including', 'th', '']",0.0,0.0,Neutral
30,RT @carolmswain: This Doctor Opposes COVID-19 Vaccine Mandate. Now His State Won't Let Him Practice Medicine. #vaccinemandates #Covid19 htt…,0,2021-10-22 21:42:55+00:00,33,"['rt', 'carolmswain', 'doctor', 'opposes', 'covid', 'vaccine', 'mandate', 'state', 'wont', 'let', 'practice', 'medicine', 'vaccinemandates', 'covid', 'htt', '']",0.0,0.0,Neutral
31,"RT @armyspoke_news: 🏥Fort Pichai Dab Hak Hospital, the 35th Military Circle coordinated with Uttaradit Provincial Public Health in providin…",0,2021-10-22 21:42:55+00:00,87,"['rt', 'armyspokenews', 'fort', 'pichai', 'dab', 'hak', 'hospital', 'th', 'military', 'circle', 'coordinated', 'uttaradit', 'provincial', 'public', 'health', 'providin', '']",-0.05,0.08333333333333334,Negative
32,RT @ABC7: Pfizer says COVID-19 vaccine more than 90% effective in kids https://t.co/fJREizhkP6,0,2021-10-22 21:42:54+00:00,15,"['rt', 'abc', 'pfizer', 'say', 'covid', 'vaccine', 'effective', 'kid', 'httpstcofjreizhkp']",0.55,0.65,Positive
33,"RT @vincristine: From NZMA today 

Vaccine Update
The Immunisation Advisory Centre (IMAC) confirms the only medical reason for not having a…",0,2021-10-22 21:42:54+00:00,38,"['rt', 'vincristine', 'nzma', 'today', 'vaccine', 'update', 'immunisation', 'advisory', 'centre', 'imac', 'confirms', 'medical', 'reason', '']",0.0,0.5,Neutral
34,"@BlindLlTE @ViralCancer @funstoppersteve @SouthwestAir Mr Powell died from COVID-19 because his cancer treatments made the vaccine less effect.

How about you try actually reading?",0,2021-10-22 21:42:52+00:00,0,"['blindllte', 'viralcancer', 'funstoppersteve', 'southwestair', 'mr', 'powell', 'died', 'covid', 'cancer', 'treatment', 'made', 'vaccine', 'le', 'effect', 'try', 'actually', 'reading']",-0.08333333333333333,0.08333333333333334,Negative
35,"RT @mandophotos: A Day of the Dead ofrenda created by Isabel Hernandez, sits illuminated in her Pilsen yard to honor Chicagoans who have di…",0,2021-10-22 21:42:52+00:00,952,"['rt', 'mandophotos', 'day', 'dead', 'ofrenda', 'created', 'isabel', 'hernandez', 'sits', 'illuminated', 'pilsen', 'yard', 'honor', 'chicagoans', 'di', '']",-0.2,0.4,Negative
36,Pfizer says COVID-19 vaccine more than 90% effective in kids – https://t.co/aipO4jHxtD https://t.co/HB37ZwB41E,0,2021-10-22 21:42:52+00:00,0,"['pfizer', 'say', 'covid', 'vaccine', 'effective', 'kid', 'httpstcoaipojhxtd', 'httpstcohbzwbe']",0.55,0.65,Positive
37,October 22 - Alberta COVID-19 vaccine coverage by age group https://t.co/Has7ExifY0 #AB,0,2021-10-22 21:42:51+00:00,0,"['october', 'alberta', 'covid', 'vaccine', 'coverage', 'age', 'group', 'httpstcohasexify', 'ab']",0.0,0.0,Neutral
38,RT @Bill_Flood: Find developments on the coronavirus outbreak in Connecticut as we work together to keep safe and healthy. https://t.co/yka…,0,2021-10-22 21:42:51+00:00,1,"['rt', 'billflood', 'find', 'development', 'coronavirus', 'outbreak', 'connecticut', 'work', 'together', 'keep', 'safe', 'healthy', 'httpstcoyka', '']",0.5,0.5,Positive
39,"RT @CBCSask: COVID-19 in Sask.: As ICU numbers spike, province sees 3rd-deadliest day of pandemic https://t.co/cKy6FLa7rY",0,2021-10-22 21:42:51+00:00,3,"['rt', 'cbcsask', 'covid', 'sask', 'icu', 'number', 'spike', 'province', 'see', 'rddeadliest', 'day', 'pandemic', 'httpstcockyflary']",0.0,0.0,Neutral
40,"RT @DemGovs: What’s on the ballot in Virginia?

🗳️ Reproductive rights
🗳️ Voting rights
🗳️ Economic recovery
🗳️ COVID-19 response
🗳️ Raisin…",0,2021-10-22 21:42:51+00:00,16,"['rt', 'demgovs', 'ballot', 'virginia', 'reproductive', 'right', 'voting', 'right', 'economic', 'recovery', 'covid', 'response', 'raisin', '']",0.2,0.2,Positive
41,"Abbott say you don't need anything but trump you should breath trump ear trump #LiveALie #TheBigLie 
And if you get sick its not his fault if you die to bad your gone. This dude got bodies on him from COVID-19 https://t.co/skSlA4cFvS",0,2021-10-22 21:42:51+00:00,0,"['abbott', 'say', 'dont', 'need', 'anything', 'trump', 'breath', 'trump', 'ear', 'trump', 'livealie', 'thebiglie', 'get', 'sick', 'fault', 'die', 'bad', 'gone', 'dude', 'got', 'body', 'covid', 'httpstcoskslacfvs']",-0.7071428571428571,0.7619047619047619,Negative
42,"RT @MrSinha_: -New Zealand's Covid-19 cases touch all-time high.
-Total 66 lakhs vaccines doses have been administered 
-NZ is still under…",0,2021-10-22 21:42:50+00:00,263,"['rt', 'mrsinha', 'new', 'zealand', 'covid', 'case', 'touch', 'alltime', 'high', 'total', 'lakh', 'vaccine', 'dos', 'administered', 'nz', 'still', '']",0.0987878787878788,0.5815151515151514,Positive
43,"RT @Schuldensuehner: S&amp;P projects that #Italy's govt deficit will narrow to 8.8% of GDP in 2021 vs the official 9.4% target, and a deficit…",0,2021-10-22 21:42:50+00:00,11,"['rt', 'schuldensuehner', 'sampp', 'project', 'italy', 'govt', 'deficit', 'narrow', 'gdp', 'v', 'official', 'target', 'deficit', '']",-0.2,0.4,Negative
44,RT @BernieKunkel: Coming in a few days the FDA will likely recommend Pfizer’s COVID-19 vaccine for children as young as 5 — even though acc…,0,2021-10-22 21:42:50+00:00,1,"['rt', 'berniekunkel', 'coming', 'day', 'fda', 'likely', 'recommend', 'pfizer', 'covid', 'vaccine', 'child', 'young', 'even', 'though', 'acc', '']",-0.03333333333333333,0.5,Negative
45,Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/T7PjU5PiOC,0,2021-10-22 21:42:50+00:00,0,"['governor', 'newsom', 'covid', 'student', 'vaccine', 'proposed', 'mandate', 'information', 'httpstcotpjupioc']",0.0,0.0,Neutral
46,"Katherine Hart, a nurse practitioner at a Valley Health clinic in https://t.co/l8TJ037NgA., said her own refusal to get the vaccine is motivated by mistrust in the government ... and restrictions that have disrupted her and her girlfriend’s lives. https://t.co/waKZq2V7Nj",0,2021-10-22 21:42:49+00:00,0,"['katherine', 'hart', 'nurse', 'practitioner', 'valley', 'health', 'clinic', 'httpstcoltjnga', 'said', 'refusal', 'get', 'vaccine', 'motivated', 'mistrust', 'government', 'restriction', 'disrupted', 'girlfriend', 'life', 'httpstcowakzqvnj']",0.6,1.0,Positive
47,"@governmeharder0 @RobSchneider Do yourself a favor. Ho to Google news and search for recent articles about VAERS. Here's another link...

https://t.co/uAyKaZTf5l",0,2021-10-22 21:42:49+00:00,0,"['governmeharder', 'robschneider', 'favor', 'ho', 'google', 'news', 'search', 'recent', 'article', 'vaers', 'here', 'another', 'link', 'httpstcouaykaztfl']",0.0,0.25,Neutral
48,RT @rhjameson: Mario Draghi singled out the U.K.’s handling of the Covid-19 pandemic as a great example -- of what not to do https://t.co/M…,0,2021-10-22 21:42:49+00:00,14,"['rt', 'rhjameson', 'mario', 'draghi', 'singled', 'uk', 'handling', 'covid', 'pandemic', 'great', 'example', 'httpstcom', '']",0.8,0.75,Positive
49,RT @RepThomasMassie: The goalposts are moving. First they changed the definition of “vaccine.” Now they’re changing the definition of “full…,0,2021-10-22 21:42:48+00:00,682,"['rt', 'repthomasmassie', 'goalpost', 'moving', 'first', 'changed', 'definition', 'vaccine', 'changing', 'definition', 'full', '']",0.25,0.3333333333333333,Positive
50,RT @EFFSouthAfrica: MALEMA: No one will force anyone to vaccinate. I'm vaccinated because I believe in science and the trials for Covid-19…,0,2021-10-22 21:42:48+00:00,160,"['rt', 'effsouthafrica', 'malema', 'one', 'force', 'anyone', 'vaccinate', 'im', 'vaccinated', 'believe', 'science', 'trial', 'covid', '']",0.0,0.0,Neutral
51,"RT @ZubyMusic: Is anybody aware of a single otherwise healthy child, anywhere in the world who died directly as a result of Covid-19 over t…",0,2021-10-22 21:42:47+00:00,477,"['rt', 'zubymusic', 'anybody', 'aware', 'single', 'otherwise', 'healthy', 'child', 'anywhere', 'world', 'died', 'directly', 'result', 'covid', '']",0.19464285714285715,0.3410714285714286,Positive
52,6 out of 10 people who have died from Covid-19 are disabled. We must make sure disabled people are heard in next year's public inquiry. Agree,0,2021-10-22 21:42:46+00:00,0,"['', 'people', 'died', 'covid', 'disabled', 'must', 'make', 'sure', 'disabled', 'people', 'heard', 'next', 'year', 'public', 'inquiry', 'agree']",0.019999999999999997,0.3111111111111111,Positive
53,"RT @C18thGirl: Last 7 days: 16% more deaths from covid and 19% rise in hospital admissions. 
At what point will mask wearing be insisted up…",0,2021-10-22 21:42:46+00:00,1,"['rt', 'cthgirl', 'last', 'day', 'death', 'covid', 'rise', 'hospital', 'admission', 'point', 'mask', 'wearing', 'insisted', '']",0.25,0.2833333333333333,Positive
54,"RT @KCPubHealth: There are now booster recommendations for all three available #COVID19 vaccines in the United States. 

Certain groups of…",0,2021-10-22 21:42:44+00:00,6,"['rt', 'kcpubhealth', 'booster', 'recommendation', 'three', 'available', 'covid', 'vaccine', 'united', 'state', 'certain', 'group', '']",0.30714285714285716,0.4857142857142857,Positive
55,RT @LeslynLewis: Never have Canadian children been used as shields for adults. Parents question vaccinating kids 5-12 without long-term dat…,0,2021-10-22 21:42:44+00:00,868,"['rt', 'leslynlewis', 'never', 'canadian', 'child', 'used', 'shield', 'adult', 'parent', 'question', 'vaccinating', 'kid', 'without', 'longterm', 'dat', '']",0.0,0.0,Neutral
56,Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/jOSOX1FZXf,0,2021-10-22 21:42:43+00:00,0,"['governor', 'newsom', 'covid', 'student', 'vaccine', 'proposed', 'mandate', 'information', 'httpstcojosoxfzxf']",0.0,0.0,Neutral
57,"Toxic Effects from Ivermectin Use Associated with Prevention and Treatment of Covid-19 | NEJM

¿Convencerá este a los necios? https://t.co/bwPOSRjuyA",0,2021-10-22 21:42:43+00:00,0,"['toxic', 'effect', 'ivermectin', 'use', 'associated', 'prevention', 'treatment', 'covid', 'nejm', 'convencerá', 'este', 'los', 'necios', 'httpstcobwposrjuya']",0.0,0.0,Neutral
58,"RT @cyrusshahpar46: Friday just in: +952K doses reported admin over yest total, including 276K newly vaccinated and 430K add'l doses/booste…",0,2021-10-22 21:42:42+00:00,105,"['rt', 'cyrusshahpar', 'friday', 'k', 'dos', 'reported', 'admin', 'yest', 'total', 'including', 'k', 'newly', 'vaccinated', 'k', 'addl', 'dosesbooste', '']",0.06818181818181818,0.6022727272727273,Positive
59,RT @ALReporter: President Joe Biden’s executive order requires all federal contractors and subcontractors to be fully vaccinated against CO…,0,2021-10-22 21:42:42+00:00,1,"['rt', 'alreporter', 'president', 'joe', 'biden', 'executive', 'order', 'requires', 'federal', 'contractor', 'subcontractor', 'fully', 'vaccinated', 'co', '']",0.0,0.0,Neutral
60,"Australian politician rips into @tedcruz  for mocking COVID-19 vaccine requirements: 'We don't need your lectures, thanks mate' 

NEITHER DOES AMERICA!
https://t.co/JErAmQZETq via @BiIndia",0,2021-10-22 21:42:42+00:00,0,"['australian', 'politician', 'rip', 'tedcruz', 'mocking', 'covid', 'vaccine', 'requirement', 'dont', 'need', 'lecture', 'thanks', 'mate', 'neither', 'america', 'httpstcojeramqzetq', 'via', 'biindia']",0.125,0.1,Positive
61,"RT @sama: After 9/11 (3k US deaths), we got so much societal change and spent trillions of dollars.

After COVID-19 (700k+ US deaths), we s…",0,2021-10-22 21:42:41+00:00,77,"['rt', 'sama', 'k', 'u', 'death', 'got', 'much', 'societal', 'change', 'spent', 'trillion', 'dollar', 'covid', 'k', 'u', 'death', '']",0.05,0.15000000000000002,Positive
62,"RT @Cultiv8Hope: OKLAHOMA CITY – The Oklahoma State Department of Health (OSDH) announces today the resignation of Commissioner Lance Frye,…",0,2021-10-22 21:42:41+00:00,1,"['rt', 'cultivhope', 'oklahoma', 'city', 'oklahoma', 'state', 'department', 'health', 'osdh', 'announces', 'today', 'resignation', 'commissioner', 'lance', 'frye', '']",0.0,0.0,Neutral
63,RT @Canadia56668243: Canada is the only country going after 5-11 yr olds on the entire planet. The science is different everywhere else. #c…,0,2021-10-22 21:42:40+00:00,18,"['rt', 'canadia', 'canada', 'country', 'going', 'yr', 'old', 'entire', 'planet', 'science', 'different', 'everywhere', 'else', 'c', '']",0.0,0.7416666666666667,Neutral
64,"RT @SenKatyG: The Morrison Government wants us to forget that they had doubled the debt to historic highs BEFORE #COVID19
 
End Sept 2013 g…",0,2021-10-22 21:42:39+00:00,282,"['rt', 'senkatyg', 'morrison', 'government', 'want', 'u', 'forget', 'doubled', 'debt', 'historic', 'high', 'covid', 'end', 'sept', 'g', '']",0.1,0.05,Positive
65,"RT @ZubyMusic: Is anybody aware of a single otherwise healthy child, anywhere in the world who died directly as a result of Covid-19 over t…",0,2021-10-22 21:42:39+00:00,476,"['rt', 'zubymusic', 'anybody', 'aware', 'single', 'otherwise', 'healthy', 'child', 'anywhere', 'world', 'died', 'directly', 'result', 'covid', '']",0.19464285714285715,0.3410714285714286,Positive
66,"RT @JujuliaGrace: There were over 50,000 cases of COVID-19 in the UK yesterday. 

Hospitalisations and deaths continue to rise. And our gov…",0,2021-10-22 21:42:39+00:00,1549,"['rt', 'jujuliagrace', 'case', 'covid', 'uk', 'yesterday', 'hospitalisation', 'death', 'continue', 'rise', 'gov', '']",0.0,0.0,Neutral
67,"RT @CBCNews: With the COVID-19 death toll in the U.S. having surpassed 730,000, Dr. Anthony Fauci says he finds it ""mind-boggling"" that par…",0,2021-10-22 21:42:38+00:00,23,"['rt', 'cbcnews', 'covid', 'death', 'toll', 'u', 'surpassed', 'dr', 'anthony', 'fauci', 'say', 'find', 'mindboggling', 'par', '']",0.5,1.0,Positive
68,"RT @armyspoke_news: 🧣The 7th Infantry Regiment Task Force, Naresuan Force visited  people in Pai Song Nue Village, Pai District, Mae Hong S…",0,2021-10-22 21:42:38+00:00,27,"['rt', 'armyspokenews', 'th', 'infantry', 'regiment', 'task', 'force', 'naresuan', 'force', 'visited', 'people', 'pai', 'song', 'nue', 'village', 'pai', 'district', 'mae', 'hong', '']",0.0,0.0,Neutral
69,"So this is a longer video than most of mine, but explaining @SenRonJohnson’s #Covid_19 vaccine misinformation needed it. Thanks to @MeidasTouch for posting &amp; amplifying!
Vaccine misinformation kills &amp; somehow Ron understood that prior to the 2020 election.
https://t.co/c0mBdo1j63",0,2021-10-22 21:42:36+00:00,0,"['longer', 'video', 'mine', 'explaining', 'senronjohnson', 'covid', 'vaccine', 'misinformation', 'needed', 'thanks', 'meidastouch', 'posting', 'amp', 'amplifying', 'vaccine', 'misinformation', 'kill', 'amp', 'somehow', 'ron', 'understood', 'prior', 'election', 'httpstcocmbdoj']",0.25,0.2333333333333333,Positive
70,Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/RaHzDTfjQk,0,2021-10-22 21:42:36+00:00,0,"['governor', 'newsom', 'covid', 'student', 'vaccine', 'proposed', 'mandate', 'information', 'httpstcorahzdtfjqk']",0.0,0.0,Neutral
71,"RT @RWMaloneMD: ""major concerns regarding potential flaws in the reliability of the Israeli data with respect to the Pfizer-BioNTech COVID-…",0,2021-10-22 21:42:35+00:00,744,"['rt', 'rwmalonemd', 'major', 'concern', 'regarding', 'potential', 'flaw', 'reliability', 'israeli', 'data', 'respect', 'pfizerbiontech', 'covid', '']",0.03125,0.75,Positive
72,"RT @parthpunter: No VIP culture in vaccine drive?

Remember this?
https://t.co/QDcvbWz5uK",0,2021-10-22 21:42:35+00:00,108,"['rt', 'parthpunter', 'vip', 'culture', 'vaccine', 'drive', 'remember', 'httpstcoqdcvbwzuk']",0.0,0.0,Neutral
73,RT @WVTM13: UA System says employees must get COVID-19 vaccine https://t.co/qnU27pXKu2,0,2021-10-22 21:42:35+00:00,1,"['rt', 'wvtm', 'ua', 'system', 'say', 'employee', 'must', 'get', 'covid', 'vaccine', 'httpstcoqnupxku']",0.0,0.0,Neutral
74,"RT @DrEricDing: 5) Of 2,268 children in the trial, twice as many were given the vaccine as received a placebo. Sixteen children who receive…",0,2021-10-22 21:42:34+00:00,61,"['rt', 'drericding', 'child', 'trial', 'twice', 'many', 'given', 'vaccine', 'received', 'placebo', 'sixteen', 'child', 'receive', '']",0.5,0.5,Positive
