tweets,likes,time,retweets
#WATCH | A team of healthcare workers in Chhattisgarh crosses a river on  bamboo boat to hold a Covid-19 vaccination drive in Rajnandgaon's remote village (22.10) https://t.co/bAzF5V9Wbb,0,2021-10-22 21:42:59+00:00,0
RT @LeslynLewis: Never have Canadian children been used as shields for adults. Parents question vaccinating kids 5-12 without long-term dat…,0,2021-10-22 21:42:59+00:00,869
"RT @SkyNews: A mutation of COVID-19 has been designated a ""variant under investigation"" by the UK Health Security Agency (UKHSA), after it…",0,2021-10-22 21:42:58+00:00,86
"RT @BKarahalios: Last night, I participated in debate on Bill 12 - Mandatory COVID-19 Vaccinations in the Education and Healthcare Sectors…",0,2021-10-22 21:42:58+00:00,1826
"RT @JordanSchachtel: As of 10/21/21 end of day:

Vax Pass New York, which has heavy restrictions in place, has reported 17,834 COVID-19 cas…",0,2021-10-22 21:42:58+00:00,1170
RT @WTNH: BREAKING: Pfizer says kid-size doses of its COVID-19 vaccine are near 91% effective. https://t.co/sDmuLf12Eo,0,2021-10-22 21:42:56+00:00,3
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/2buqG3DjQI,0,2021-10-22 21:42:56+00:00,0
Saskatchewan's Scott Moe starts daily shipping of patients to Ontario after bungling province's public health response to the pandemic #skpoli #Regina #Coronavirus #cdnpoli #onpoli  https://t.co/OUaKxwi3l3,0,2021-10-22 21:42:56+00:00,0
"RT @jpkiekens: Marc Wathelet, PhD, in this letter to the Belgian health minister, questions the official response to COVID-19, including th…",0,2021-10-22 21:42:55+00:00,15
RT @carolmswain: This Doctor Opposes COVID-19 Vaccine Mandate. Now His State Won't Let Him Practice Medicine. #vaccinemandates #Covid19 htt…,0,2021-10-22 21:42:55+00:00,33
"RT @armyspoke_news: 🏥Fort Pichai Dab Hak Hospital, the 35th Military Circle coordinated with Uttaradit Provincial Public Health in providin…",0,2021-10-22 21:42:55+00:00,87
RT @ABC7: Pfizer says COVID-19 vaccine more than 90% effective in kids https://t.co/fJREizhkP6,0,2021-10-22 21:42:54+00:00,15
"RT @vincristine: From NZMA today 

Vaccine Update
The Immunisation Advisory Centre (IMAC) confirms the only medical reason for not having a…",0,2021-10-22 21:42:54+00:00,38
"@BlindLlTE @ViralCancer @funstoppersteve @SouthwestAir Mr Powell died from COVID-19 because his cancer treatments made the vaccine less effect.

How about you try actually reading?",0,2021-10-22 21:42:52+00:00,0
"RT @mandophotos: A Day of the Dead ofrenda created by Isabel Hernandez, sits illuminated in her Pilsen yard to honor Chicagoans who have di…",0,2021-10-22 21:42:52+00:00,952
Pfizer says COVID-19 vaccine more than 90% effective in kids – https://t.co/aipO4jHxtD https://t.co/HB37ZwB41E,0,2021-10-22 21:42:52+00:00,0
October 22 - Alberta COVID-19 vaccine coverage by age group https://t.co/Has7ExifY0 #AB,0,2021-10-22 21:42:51+00:00,0
RT @Bill_Flood: Find developments on the coronavirus outbreak in Connecticut as we work together to keep safe and healthy. https://t.co/yka…,0,2021-10-22 21:42:51+00:00,1
"RT @CBCSask: COVID-19 in Sask.: As ICU numbers spike, province sees 3rd-deadliest day of pandemic https://t.co/cKy6FLa7rY",0,2021-10-22 21:42:51+00:00,3
"RT @DemGovs: What’s on the ballot in Virginia?

🗳️ Reproductive rights
🗳️ Voting rights
🗳️ Economic recovery
🗳️ COVID-19 response
🗳️ Raisin…",0,2021-10-22 21:42:51+00:00,16
"Abbott say you don't need anything but trump you should breath trump ear trump #LiveALie #TheBigLie 
And if you get sick its not his fault if you die to bad your gone. This dude got bodies on him from COVID-19 https://t.co/skSlA4cFvS",0,2021-10-22 21:42:51+00:00,0
"RT @MrSinha_: -New Zealand's Covid-19 cases touch all-time high.
-Total 66 lakhs vaccines doses have been administered 
-NZ is still under…",0,2021-10-22 21:42:50+00:00,263
"RT @Schuldensuehner: S&amp;P projects that #Italy's govt deficit will narrow to 8.8% of GDP in 2021 vs the official 9.4% target, and a deficit…",0,2021-10-22 21:42:50+00:00,11
RT @BernieKunkel: Coming in a few days the FDA will likely recommend Pfizer’s COVID-19 vaccine for children as young as 5 — even though acc…,0,2021-10-22 21:42:50+00:00,1
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/T7PjU5PiOC,0,2021-10-22 21:42:50+00:00,0
"Katherine Hart, a nurse practitioner at a Valley Health clinic in https://t.co/l8TJ037NgA., said her own refusal to get the vaccine is motivated by mistrust in the government ... and restrictions that have disrupted her and her girlfriend’s lives. https://t.co/waKZq2V7Nj",0,2021-10-22 21:42:49+00:00,0
"@governmeharder0 @RobSchneider Do yourself a favor. Ho to Google news and search for recent articles about VAERS. Here's another link...

https://t.co/uAyKaZTf5l",0,2021-10-22 21:42:49+00:00,0
RT @rhjameson: Mario Draghi singled out the U.K.’s handling of the Covid-19 pandemic as a great example -- of what not to do https://t.co/M…,0,2021-10-22 21:42:49+00:00,14
RT @RepThomasMassie: The goalposts are moving. First they changed the definition of “vaccine.” Now they’re changing the definition of “full…,0,2021-10-22 21:42:48+00:00,682
RT @EFFSouthAfrica: MALEMA: No one will force anyone to vaccinate. I'm vaccinated because I believe in science and the trials for Covid-19…,0,2021-10-22 21:42:48+00:00,160
"RT @ZubyMusic: Is anybody aware of a single otherwise healthy child, anywhere in the world who died directly as a result of Covid-19 over t…",0,2021-10-22 21:42:47+00:00,477
6 out of 10 people who have died from Covid-19 are disabled. We must make sure disabled people are heard in next year's public inquiry. Agree,0,2021-10-22 21:42:46+00:00,0
"RT @C18thGirl: Last 7 days: 16% more deaths from covid and 19% rise in hospital admissions. 
At what point will mask wearing be insisted up…",0,2021-10-22 21:42:46+00:00,1
"RT @KCPubHealth: There are now booster recommendations for all three available #COVID19 vaccines in the United States. 

Certain groups of…",0,2021-10-22 21:42:44+00:00,6
RT @LeslynLewis: Never have Canadian children been used as shields for adults. Parents question vaccinating kids 5-12 without long-term dat…,0,2021-10-22 21:42:44+00:00,868
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/jOSOX1FZXf,0,2021-10-22 21:42:43+00:00,0
"Toxic Effects from Ivermectin Use Associated with Prevention and Treatment of Covid-19 | NEJM

¿Convencerá este a los necios? https://t.co/bwPOSRjuyA",0,2021-10-22 21:42:43+00:00,0
"RT @cyrusshahpar46: Friday just in: +952K doses reported admin over yest total, including 276K newly vaccinated and 430K add'l doses/booste…",0,2021-10-22 21:42:42+00:00,105
RT @ALReporter: President Joe Biden’s executive order requires all federal contractors and subcontractors to be fully vaccinated against CO…,0,2021-10-22 21:42:42+00:00,1
"Australian politician rips into @tedcruz  for mocking COVID-19 vaccine requirements: 'We don't need your lectures, thanks mate' 

NEITHER DOES AMERICA!
https://t.co/JErAmQZETq via @BiIndia",0,2021-10-22 21:42:42+00:00,0
"RT @sama: After 9/11 (3k US deaths), we got so much societal change and spent trillions of dollars.

After COVID-19 (700k+ US deaths), we s…",0,2021-10-22 21:42:41+00:00,77
"RT @Cultiv8Hope: OKLAHOMA CITY – The Oklahoma State Department of Health (OSDH) announces today the resignation of Commissioner Lance Frye,…",0,2021-10-22 21:42:41+00:00,1
RT @Canadia56668243: Canada is the only country going after 5-11 yr olds on the entire planet. The science is different everywhere else. #c…,0,2021-10-22 21:42:40+00:00,18
"RT @SenKatyG: The Morrison Government wants us to forget that they had doubled the debt to historic highs BEFORE #COVID19
 
End Sept 2013 g…",0,2021-10-22 21:42:39+00:00,282
"RT @ZubyMusic: Is anybody aware of a single otherwise healthy child, anywhere in the world who died directly as a result of Covid-19 over t…",0,2021-10-22 21:42:39+00:00,476
"RT @JujuliaGrace: There were over 50,000 cases of COVID-19 in the UK yesterday. 

Hospitalisations and deaths continue to rise. And our gov…",0,2021-10-22 21:42:39+00:00,1549
"RT @CBCNews: With the COVID-19 death toll in the U.S. having surpassed 730,000, Dr. Anthony Fauci says he finds it ""mind-boggling"" that par…",0,2021-10-22 21:42:38+00:00,23
"RT @armyspoke_news: 🧣The 7th Infantry Regiment Task Force, Naresuan Force visited  people in Pai Song Nue Village, Pai District, Mae Hong S…",0,2021-10-22 21:42:38+00:00,27
"So this is a longer video than most of mine, but explaining @SenRonJohnson’s #Covid_19 vaccine misinformation needed it. Thanks to @MeidasTouch for posting &amp; amplifying!
Vaccine misinformation kills &amp; somehow Ron understood that prior to the 2020 election.
https://t.co/c0mBdo1j63",0,2021-10-22 21:42:36+00:00,0
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/RaHzDTfjQk,0,2021-10-22 21:42:36+00:00,0
"RT @RWMaloneMD: ""major concerns regarding potential flaws in the reliability of the Israeli data with respect to the Pfizer-BioNTech COVID-…",0,2021-10-22 21:42:35+00:00,744
"RT @parthpunter: No VIP culture in vaccine drive?

Remember this?
https://t.co/QDcvbWz5uK",0,2021-10-22 21:42:35+00:00,108
RT @WVTM13: UA System says employees must get COVID-19 vaccine https://t.co/qnU27pXKu2,0,2021-10-22 21:42:35+00:00,1
"RT @DrEricDing: 5) Of 2,268 children in the trial, twice as many were given the vaccine as received a placebo. Sixteen children who receive…",0,2021-10-22 21:42:34+00:00,61
RT @CBSMornings: CDC advisers back Moderna and Johnson &amp; Johnson's COVID-19 vaccine booster shots https://t.co/xCcgP9ZDTO,0,2021-10-22 21:42:34+00:00,3
RT @HannahD15: News from @LukeCostin at @AAPNewswire: there'll be an independent inquiry into Parklea prison's handling of its COVID outbre…,0,2021-10-22 21:42:34+00:00,3
"@UKHSA Thought Boris Johnson said he would follow the science  His own scientists want him to act sooner rather than later !
 I know who  I trust and its not Boris or his ""Odd Bod Mogg"" and the Covid-19 sceptics .",0,2021-10-22 21:42:33+00:00,0
RT @SkyNews: COVID-19: Liverpool council health board advises people to work from home in face of rising coronavirus cases  https://t.co/DZ…,0,2021-10-22 21:42:33+00:00,35
RT @MayorofLondon: We can’t afford to wait for Plan B. The Government should act now to give our police officers the powers to enforce mask…,0,2021-10-22 21:42:32+00:00,34
RT @bombdiggity1983: But the vaccine lessens symptoms.. not sure what’s worse than dying   https://t.co/XqcRDzRWLh,0,2021-10-22 21:42:31+00:00,0
"This guy still continued with the project despite being hit hard by COVID-19, loosing work as many black cabbies did and the strains and heartache. Well done John! This has been more than six years in making
@SunSport @GuardianBooks @TheTimesBooks @GuardianBooks @sprtbookreviews",0,2021-10-22 21:42:30+00:00,0
RT @JoeBrunoWSOC9: All Covid-19 metrics in Meck County decreased again this week. The average percent positive rate is 7.3%. The county sai…,0,2021-10-22 21:42:30+00:00,12
RT @jerryredfern: Down at the #CarlsbadEnergySummit and nary a mask in sight during a statewide #Covid_19 mask mandate. This after that cor…,0,2021-10-22 21:42:30+00:00,8
RT @DrSyedHaider: My experience using ivermectin and fluvoxamine in 4000 acute COVID-19 patients: 5 hospitalized. 0 dead. 4000 recovered. 5…,0,2021-10-22 21:42:30+00:00,16406
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/QowmcfeFqJ,0,2021-10-22 21:42:30+00:00,0
BREAKING: ALEXIS HAS TESTED POSITIVE FOR COVID-19,0,2021-10-22 21:42:28+00:00,0
"RT @washingtonpost: Across the Andes, a region that has reported some of the world’s highest covid-19 death rates, teams are traversing des…",0,2021-10-22 21:42:28+00:00,59
"President Joe Biden’s executive order requires all federal contractors and subcontractors to be fully vaccinated against COVID-19 by Dec. 8.
https://t.co/mfBUgUcXO3",1,2021-10-22 21:42:28+00:00,1
"RT @lukethomas14: Welp. 59% of Covid-19 deaths in Maine (via latest week of reporting) were from breakthrough cases.

I've been beating thi…",0,2021-10-22 21:42:28+00:00,3
@KyleBumpus @BallouxFrancois The CDC director Rochelle Walensky said data suggests fully vaccinated people don't carry COVID-19 and Dr. Fauci stated the vaccine prevented death by 100%. Pretty easy to duck duck go or even google. All those claims were 100% false.,0,2021-10-22 21:42:27+00:00,0
RT @BEric8848: Ivermectin is listed in https://t.co/GJ6ZXhklcg as one of the two medicines to treat Covid-19 patients. Please see the table…,0,2021-10-22 21:42:26+00:00,1
RT @BettyBeingBetty: Offshoot of Covid Delta variant on the rise in England | Coronavirus | The Guardian  ladies &amp; Gentlemen welcome to the…,0,2021-10-22 21:42:26+00:00,1
"COVID-19 in Sask.: As ICU numbers spike, province sees 3rd-deadliest day of pandemic | CBC News https://t.co/ho3jQvFPRa @picardonhealth @drmwarner @KatharineSmart @NightShiftMD @CMA_Docs @SMA_docs @globeandmail @starphoenix @guardian @Reuters",2,2021-10-22 21:42:25+00:00,0
"RT @cnnbrk: GOP Rep. Glenn Thompson, who is vaccinated, tests positive for Covid-19 
https://t.co/9cgEkaAmyo",0,2021-10-22 21:42:24+00:00,64
"RT @Strandjunker: The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is: Who paid off his $92,000 country club fees pl…",0,2021-10-22 21:42:24+00:00,13251
"RT @AP: Millions more Americans just became eligible for COVID-19 boosters, but figuring out if you qualify for that extra dose and what br…",0,2021-10-22 21:42:23+00:00,37
"RT @CDCgov: New @CDCMMWR finds that among all unvaccinated adults with COVID-19-associated hospitalizations, the proportion of those aged 1…",0,2021-10-22 21:42:23+00:00,43
RT @skepticalraptor: Outstanding news – CDC reports that #COVID19 #vaccine mortality risk is significantly lower than in an unvaccinated gr…,0,2021-10-22 21:42:22+00:00,1
"RT @Providence_Hlth: Big shoutout and kudos to PHC's IPAC team, who have been amazing leaders throughout the COVID-19 pandemic (and beyond)…",0,2021-10-22 21:42:22+00:00,2
"Donnelly, get this. The mass injection effort has failed to stop the pandemic. A study in the European Journal of Epidemiology shows that increases in COVID-19 are unrelated to levels of vaccination in 68 countries worldwide and 2,947 counties in the U.S.2 https://t.co/VI40W4HH3g",1,2021-10-22 21:42:22+00:00,0
"Unvaccinated pregnant Tennessee woman, 36, die of COVID-19 https://t.co/MUw4AhMdp9 @MailOnline",0,2021-10-22 21:42:17+00:00,0
"RT @DrZoeHyde: The best time to try to eliminate the virus that causes COVID-19 was early 2020.

The second best time is now.",0,2021-10-22 21:42:17+00:00,174
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/GRhaHSUHqi,0,2021-10-22 21:42:17+00:00,0
"RT @Reuters_Health: A key measure of coronavirus infections in Germany rose sharply over the past week, figures showed on Friday, raising t…",0,2021-10-22 21:42:16+00:00,4
"@RealCandaceO @guardian Funny, I’m from Queensland and we have been kept alive by the best Covid-19 policies in the world. And I am extremely grateful. Focus on your own backyard.",0,2021-10-22 21:42:15+00:00,0
RT @JacquesGallant: Maj.-Gen. Dany Fortin appeals court decision in bid to return as head of Canada’s COVID-19 vaccine rollout https://t.co…,0,2021-10-22 21:42:14+00:00,1
RT @BrianMteleSUR: The number of Brazilians who think Jair Bolsonaro is doing poor or terrible has rising  from 47% to 54% during the last…,0,2021-10-22 21:42:14+00:00,31
"RT @ryanmeili: Last night’s SK docs town hall had some hard truths to share. 🧵 

We learned the devastating news that 3 children under 12 h…",0,2021-10-22 21:42:14+00:00,14
"@KimATerry @carbcoma @FormOfGood @latimes ""Real world data have also been supportive.14 Several studies (in Qatar,15 England,16 Israel,17 and the US18) have found infection rates at equally low levels among people who are fully vaccinated and those who have previously had covid-19.""

https://t.co/HKmadk8xZR",0,2021-10-22 21:42:14+00:00,0
"RT @Schuldensuehner: S&amp;P projects that #Italy's govt deficit will narrow to 8.8% of GDP in 2021 vs the official 9.4% target, and a deficit…",0,2021-10-22 21:42:13+00:00,11
"@jkenney @CMOH_Alberta 

Look how useful those PCR tests are.

https://t.co/ubOQtsbl2i",0,2021-10-22 21:42:12+00:00,0
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/5ydedwF2KN,0,2021-10-22 21:42:11+00:00,0
"RT @lapublichealth: All COVID-19 vaccines are now approved for boosters - Pfizer, Moderna, and Johnson &amp; Johnson. People may also receive b…",0,2021-10-22 21:42:11+00:00,3
"RT @caryn_lieberman: “The cheese slipped off the cracker with this guy,” says @fordnation about @randyhillier in response to this report on…",0,2021-10-22 21:42:11+00:00,5
RT @CTVToronto: Ontario Progressive Conservative MPP Lindsey Park has resigned following an accusation from party leadership that she had m…,0,2021-10-22 21:42:11+00:00,11
"RT @duty2warn: Chad Bianco, sheriff of Riverside County who railed against COVID-19 restrictions has been revealed as a member of the Oath…",0,2021-10-22 21:42:11+00:00,1016
"RT @MrsNigel: When asked to clarify his assertion that Covid-19 is only transmitted between strangers, Jacob Rees-Mogg reclined to answer.…",0,2021-10-22 21:42:10+00:00,62
"RT @EmeraldRobinson: Dr. Fauci is not just morally responsible for creating COVID-19, he is directly responsible for millions of deaths aro…",0,2021-10-22 21:42:10+00:00,3545
RT @RepThomasMassie: The goalposts are moving. First they changed the definition of “vaccine.” Now they’re changing the definition of “full…,0,2021-10-22 21:42:09+00:00,684
Feeling Too Schlubby to Have Sex? It’s Not Just You. - WSJ https://t.co/9bZIUeVOZH,0,2021-10-22 21:42:09+00:00,0
"RT @ryanmeili: Last night’s SK docs town hall had some hard truths to share. 🧵 

We learned the devastating news that 3 children under 12 h…",0,2021-10-22 21:42:08+00:00,14
"India sees over 18,000 new COVID-19 cases, 160 deaths The number of active cases has increased to 1,78,831, comprising 0.52 per cent of the total infections -- the lowest since March 2020 -- while the national COVID-19 reco... #News by #EconomicTimes https://t.co/92kzS2VJ8J",0,2021-10-22 21:42:08+00:00,0
My grand daughter’s daycare has a COVID-19 outbreak. They have the kids segregated by age groups. Her age group was not affected. I’ll be on Grandma duty all next week. Today she told me I looked like I was run over by a car. Next week should be fun.,0,2021-10-22 21:42:07+00:00,0
"RT @OccupyDemocrats: BREAKING: Popular California burger chain In-N-Out exposed for donating $40,000 to the Republican Party during the fai…",0,2021-10-22 21:42:07+00:00,5508
@mackaracka @TSBsLTR Great. I think my shingles #2 and Covid-19 booster are about a week apart.,0,2021-10-22 21:42:06+00:00,0
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/0Uw4gTMIrz,0,2021-10-22 21:42:05+00:00,0
COVID-19 booster shots are now available to more Rhode Islanders. https://t.co/Ip87YRWBL4,0,2021-10-22 21:42:05+00:00,0
Louisiana health officials outline requirements for COVID-19 vaccine booster shots https://t.co/VHqcozWB8p,0,2021-10-22 21:42:05+00:00,0
UA System says employees must get COVID-19 vaccine https://t.co/qnU27pXKu2,0,2021-10-22 21:42:04+00:00,1
"RT @DrZoeHyde: The best time to try to eliminate the virus that causes COVID-19 was early 2020.

The second best time is now.",0,2021-10-22 21:42:04+00:00,174
RT @NatLawLegalMktg: Cal/OSHA Releases Proposed Language for Next Readoption of COVID-19 Prevention Emergency Temporary Standards https://t…,0,2021-10-22 21:42:03+00:00,1
"Ever wonder if like the turn over at walmart is really just insanely high ?
I know our produce thing does pretty well. Im not sure though. When covid 19 kicked off we were out of everything and toilet paper like everyone else.",0,2021-10-22 21:42:03+00:00,0
"I am a Jesuit scientist. I’m all for vaccines, but we have to do more than just ‘follow the science’In the fight against the Covid-19 pandemic, the scientific evidence in favor of vaccination is overwhelming.

https://t.co/XMKmZp6Za7",0,2021-10-22 21:42:02+00:00,0
7 Day Confirmed Covid Cases per 1K Population by County For ID   2021-10-19:  Covid data insights from our data scientists and USAFacts #dataanalysis #datascience #dataanalytics #datavisualizations #covid19 #coronavirus #covid_19 https://t.co/XQ1NTTJGc8,0,2021-10-22 21:42:02+00:00,0
RT @thehill: Unvaccinated people should expect to catch COVID-19 every 16 months https://t.co/tjjVGxXQuz https://t.co/U6sgxOJ9Gb,0,2021-10-22 21:42:02+00:00,365
@SenatorSinema Where was your outrage when Ducey did everything in his power to withhold the funding provided to the children in schools to protect them from COVID-19?,0,2021-10-22 21:42:02+00:00,0
Why aren't we talking about this? How many more cases before BoJo gets his finger out and actually does something ? COVID-19: Delta mutation made 'variant under investigation' after concerns it may be more transmissible https://t.co/xCzcKe3ax5,0,2021-10-22 21:42:01+00:00,0
"RT @Zubhaque: We have now had more than 4million #Covid_19 cases AND 11,000 *deaths* in UK since 27 June. Cases have remained consistently…",0,2021-10-22 21:42:01+00:00,148
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/HD69EBUEK1,0,2021-10-22 21:42:01+00:00,0
"Quebec is relaxing COVID 19 restrictions, but dancing still off limits in clubs - For Montreal DJ Marc-Andre Patry, there’s no point performing if people can’t dance.For years, Patry has hosted a monthly event called Vo... - https://t.co/V4PPk6ibQA https://t.co/b5vo3FWutH",0,2021-10-22 21:42:00+00:00,0
Pfizer Vaccine for Kids 90% effective in Preventing COVID-19 - https://t.co/m2KSdtyHiK https://t.co/lUejh2nOQH,0,2021-10-22 21:42:00+00:00,0
"RT @CovidStockton: Single or Double?

All adults 18 and over, are eligible for 2️⃣ vaccines 💉💉
This includes 17 year olds who are within 3…",0,2021-10-22 21:42:00+00:00,1
"RT @CBCAlerts: Ontario Senator Josée Forest-Niesing in hospital with COVID-19. Senator's office says she is double vaccinated, as is her fa…",0,2021-10-22 21:41:59+00:00,95
Pfizer Vaccine for Kids 90% effective in Preventing COVID-19 - https://t.co/AlBe1YwSTP https://t.co/79cj1OM3y8,0,2021-10-22 21:41:59+00:00,0
RT @ChrisWe19956626: If #Hitler had #Covid_19 would he have used it to KILL the population of #Germany? @BorisJohnson what do you feel he w…,0,2021-10-22 21:41:58+00:00,1
"RT @SabiVM: FDA VRBPAC brief released in advance of Oct 26 meeting on pediatrics 5-11 vaccination. Summarizing key points in this 🧵 . 

Bot…",0,2021-10-22 21:41:58+00:00,87
"RT @slashdot: Memes About COVID-19 Helped Us Cope With Life in a Pandemic, a New Study Finds https://t.co/KESXFWAnK8",0,2021-10-22 21:41:57+00:00,2
@endajodowd We are COVID-19 doomed?,0,2021-10-22 21:41:57+00:00,0
"RT @ksbanews: Kentucky reports 1,626 new cases of COVID-19 today including 444 in those 18 and under - 27.3 percent. The positivity rate is…",0,2021-10-22 21:41:57+00:00,1
"RT @RWMaloneMD: ""major concerns regarding potential flaws in the reliability of the Israeli data with respect to the Pfizer-BioNTech COVID-…",0,2021-10-22 21:41:56+00:00,745
"RT @MarkChangizi: If you’re unvaccinated, a social person, and haven’t yet gotten sick from Covid, it’s implausible that you haven’t been r…",0,2021-10-22 21:41:56+00:00,621
"@StefanMychajliw If only everyone would do their part voluntarily, what a wonderful world it would be.     https://t.co/0EBapFrJy9",0,2021-10-22 21:41:55+00:00,0
"RT @RashidaTlaib: I lost a childhood friend to #Covid_19 yesterday. He was only 44 years old, a father of 4 with another on the way. 

Plea…",0,2021-10-22 21:41:54+00:00,93
"RT @YALiberty: Your tax dollars funded the Wuhan lab in China that very likely may have been responsible for the COVID-19 pandemic.

Really…",0,2021-10-22 21:41:54+00:00,369
Governor Newsom’s COVID-19 Student Vaccine Proposed Mandate Information 10/22/21 https://t.co/eKAszZ8DMV,0,2021-10-22 21:41:53+00:00,0
"COVID-19: Mandatory staff vaccination policy introduced in Kelowna, but not Vernon  | https://t.co/3Gcm01cY5G https://t.co/gk2PtV4emc",0,2021-10-22 21:41:53+00:00,0
"RT @LeeKniess: 'I've lost my joy': Anti-vax Republican, who worked for the Trump campaign and embraced QAnon, says she has COVID-19 - I gue…",0,2021-10-22 21:41:51+00:00,1
RT @jemb123: So you know how the @HSELive have contracted the contact tracing of Covid 19 to CPL? In other words the staff work for a priva…,0,2021-10-22 21:41:50+00:00,4
"RT @PHLHlthPrepare: Vaccine opportunity in #WestPhilly today!

Come by Salvation Army today from 12pm-6pm to get your Pfizer or Johnson &amp; J…",0,2021-10-22 21:41:49+00:00,7
".@NuecesCo COVID-19 CASES TODAY:
109 cases (67 reported by the State [historic data] &amp; 42 reported to the Health District). Of the 109, 87 are confirmed positives, 11 are probable positives &amp; 11 are suspect positives.
👉Learn More: https://t.co/FjnXSFGL61 #CCstaysafe #NuecesKnows https://t.co/TMigX5lSh2",0,2021-10-22 21:41:49+00:00,0
